"PRODUCT_CATEGORY","NO_OF_DAYS","TOTAL_REVENUE"
health_beauty,131,498650.27
watches_gifts,106,406706.0
bed_bath_table,66,192966.15
computers_accessories,64,237180.93
sports_leisure,57,187469.52
cool_stuff,30,71304.16
furniture_decor,29,44454.18
garden_tools,23,53745.5
computers,19,104589.03
auto,17,55106.59
toys,16,41192.24
housewares,12,43098.89
office_furniture,6,9188.58
perfumery,5,7839.5
small_appliances,5,26877.98
baby,4,9699.11
consoles_games,4,8722.11
telephony,3,5116.43
construction_tools_construction,3,6767.43
fashion_bags_accessories,2,109.0
musical_instruments,2,4009.02
air_conditioning,1,602.7
dvds_blu_ray,1,1420.0
market_place,1,1964.0
art,1,6499.0
fixed_telephony,1,13440.0
agro_industry_and_commerce,1,2399.0
home_appliances_2,1,4220.0
industry_commerce_and_business,1,3089.0
kitchen_dining_laundry_garden_furniture,1,145.0
